ID;Name;Dept;Salary;JoinDate
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
1;Alice;HR;5000.50;1/15/2026 12:00:00 AM
2;Bob;IT;6000.00;2026-02-20
3;Charlie;IT;5500.00;2026-03-05
4;Dave;Sales;;2026-04-10
